peso_iniziale  peso_finale  differenza
0,6370	0,5561	0,0809
0,5741	0,5883	-0,0142
0,5780	0,5670	0,011
0,6637	0,5849	0,0788
0,6531	0,5583	0,0948
0,6574	0,5863	0,0711
0,6425	0,5832	0,0593
0,5786	0,5579	0,0207
0,6403	0,5699	0,0704
0,6558	0,5872	0,0686
0,6632	0,5678	0,0954
0,5489	0,5530	-0,0041
0,6601	0,5858	0,0743
0,6254	0,5866	0,0388
0,6458	0,5860	0,0598
0,5597	0,5797	-0,02
0,6387	0,5492	0,0895
0,5517	0,5635	-0,0118
0,6342	0,5866	0,0476
0,6516	0,5680	0,0836
0,6422	0,5879	0,0543
0,6712	0,5940	0,0772
0,5754	0,5878	-0,0124
0,6637	0,5474	0,1163
0,5801	0,5666	0,0135
0,6261	0,5480	0,0781
0,6534	0,5971	0,0563
0,6498	0,5415	0,1083
0,6495	0,5831	0,0664
0,6325	0,5706	0,0619
0,6584	0,5531	0,1053
0,5831	0,5840	-0,0009
0,6384	0,5688	0,0696
0,6496	0,5870	0,0626
0,5838	0,5810	0,0028
0,6564	0,5914	0,065
0,6622	0,5875	0,0747
0,6497	0,5881	0,0616
0,6166	0,5906	0,026
0,6616	0,5856	0,076
0,6571	0,5664	0,0907
0,5838	0,5874	-0,0036
0,6606	0,5896	0,071
0,6492	0,5881	0,0611
0,6546	0,5669	0,0877
0,5845	0,5877	-0,0032
0,6709	0,5804	0,0905
0,6320	0,5847	0,0473
0,6652	0,5809	0,0843
0,6593	0,5826	0,0767
